epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.83904,0.99693,2.60919,1.2461,0.00352,1,0.8596,0.68425,0.65738,2.55983,0.92252,0.00048343,0.00048343,0.00048343
2,11.8113,0.82011,1.40244,1.04156,0.79695,0.67241,0.84222,0.67911,0.74826,1.83287,0.97943,0.000967302,0.000967302,0.000967302
3,16.3761,0.7947,1.24684,1.06438,0.91137,0.85561,0.96795,0.76358,0.76524,1.11252,1.01874,0.00143467,0.00143467,0.00143467
4,20.8945,0.8569,1.26001,1.07746,0.85741,0.79925,0.90689,0.7386,0.73045,1.27347,0.97461,0.00158448,0.00158448,0.00158448
5,25.3465,0.78589,1.0792,1.03183,0.83856,0.78668,0.86188,0.668,0.81448,1.31481,1.03192,0.00155698,0.00155698,0.00155698
6,29.8112,0.79607,0.97077,1.04741,0.96418,0.95356,0.97986,0.80566,0.68561,0.77782,0.95319,0.00152947,0.00152947,0.00152947
7,34.2889,0.76346,0.91109,1.02575,0.9753,0.96857,0.98724,0.82812,0.67511,0.74996,0.93543,0.00150197,0.00150197,0.00150197
8,39.2683,0.76699,0.85554,1.03332,0.97478,0.99232,0.9929,0.83189,0.68105,0.70356,0.94247,0.00147446,0.00147446,0.00147446
9,44.3801,0.74445,0.78738,1.01857,0.97238,0.92785,0.97336,0.81744,0.65378,0.69441,0.95406,0.00144696,0.00144696,0.00144696
10,48.9132,0.7592,0.7347,1.01821,0.94231,0.97174,0.99203,0.80154,0.73118,0.63545,0.96107,0.00141945,0.00141945,0.00141945
11,53.5755,0.73386,0.72381,0.99962,0.99365,0.99415,0.99494,0.84543,0.64089,0.45511,0.92094,0.00139195,0.00139195,0.00139195
12,58.0984,0.68972,0.67864,0.99693,0.98812,0.97042,0.99251,0.86406,0.54229,0.47649,0.87845,0.00136444,0.00136444,0.00136444
13,62.508,0.67315,0.59899,0.9818,0.96921,0.99103,0.99389,0.84884,0.58678,0.43691,0.89516,0.00133693,0.00133693,0.00133693
14,66.9327,0.69973,0.61583,0.99937,0.95742,0.99323,0.9938,0.86336,0.5663,0.42053,0.89571,0.00130943,0.00130943,0.00130943
15,71.3592,0.66408,0.58733,0.97745,0.97451,0.98065,0.99061,0.84348,0.61958,0.44158,0.91764,0.00128192,0.00128192,0.00128192
16,75.7842,0.66268,0.57631,0.98275,0.99566,1,0.995,0.85876,0.57018,0.35394,0.89108,0.00125442,0.00125442,0.00125442
17,80.2233,0.66533,0.5442,0.99421,0.99781,0.99359,0.99494,0.87078,0.53906,0.35678,0.87845,0.00122691,0.00122691,0.00122691
18,84.7201,0.6632,0.55208,0.98269,0.99789,1,0.995,0.87198,0.54772,0.35767,0.88349,0.00119941,0.00119941,0.00119941
19,89.126,0.64085,0.52528,0.98092,0.99448,0.99935,0.995,0.86669,0.55158,0.34088,0.88836,0.0011719,0.0011719,0.0011719
20,93.5562,0.66307,0.53011,0.97619,0.99884,0.99359,0.99147,0.85475,0.55346,0.34697,0.88774,0.0011444,0.0011444,0.0011444
21,98.0862,0.63371,0.51752,0.97495,0.97091,0.94981,0.98305,0.86813,0.53306,0.42094,0.88238,0.00111689,0.00111689,0.00111689
22,102.506,0.65108,0.50175,0.98585,0.99666,0.96885,0.9898,0.8777,0.53529,0.33844,0.8849,0.00108938,0.00108938,0.00108938
23,106.903,0.62299,0.48822,0.97692,0.99762,0.99257,0.99481,0.86602,0.54542,0.32509,0.88628,0.00106188,0.00106188,0.00106188
24,111.348,0.60926,0.47818,0.97324,0.99009,0.97131,0.99326,0.88384,0.49377,0.34563,0.86737,0.00103437,0.00103437,0.00103437
25,115.725,0.60464,0.45493,0.9689,0.9978,1,0.995,0.88944,0.51343,0.30174,0.87009,0.00100687,0.00100687,0.00100687
26,120.229,0.62506,0.45227,0.96958,0.99883,1,0.995,0.88865,0.50062,0.29444,0.86544,0.000979362,0.000979362,0.000979362
27,124.689,0.59567,0.44476,0.95673,0.999,0.98875,0.995,0.88479,0.50749,0.30139,0.86735,0.000951857,0.000951857,0.000951857
28,129.212,0.62029,0.44334,0.97499,0.99881,0.99359,0.99157,0.87991,0.51529,0.3096,0.86527,0.000924352,0.000924352,0.000924352
29,133.66,0.59973,0.43483,0.95894,0.9993,0.99359,0.99494,0.87798,0.49738,0.29422,0.86638,0.000896846,0.000896846,0.000896846
30,138.129,0.58531,0.43003,0.95673,0.99566,0.99952,0.995,0.88209,0.49032,0.28484,0.86466,0.00086934,0.00086934,0.00086934
31,142.665,0.5956,0.42775,0.94427,0.99888,1,0.995,0.8931,0.51028,0.29394,0.86454,0.000841835,0.000841835,0.000841835
32,147.165,0.59996,0.41377,0.95277,0.98916,0.99947,0.995,0.90551,0.48146,0.28425,0.85748,0.000814329,0.000814329,0.000814329
33,151.596,0.59333,0.4262,0.96518,0.99897,1,0.995,0.89268,0.50828,0.28362,0.86396,0.000786824,0.000786824,0.000786824
34,156.077,0.58321,0.41105,0.96289,0.99799,1,0.995,0.89111,0.49349,0.26753,0.86454,0.000759318,0.000759318,0.000759318
35,160.537,0.55863,0.38262,0.9466,0.99696,0.9996,0.995,0.89077,0.47986,0.26765,0.85565,0.000731813,0.000731813,0.000731813
36,165.061,0.55891,0.38746,0.94894,0.99908,1,0.995,0.89698,0.48912,0.27296,0.86051,0.000704307,0.000704307,0.000704307
37,169.573,0.56215,0.39947,0.94481,0.99773,0.99397,0.995,0.88648,0.50986,0.27895,0.87204,0.000676802,0.000676802,0.000676802
38,174.031,0.53647,0.38769,0.93673,0.99872,0.99359,0.99494,0.89882,0.47812,0.26256,0.8587,0.000649297,0.000649297,0.000649297
39,178.481,0.53711,0.38681,0.93699,0.99539,0.99949,0.995,0.89718,0.46519,0.25618,0.85311,0.000621791,0.000621791,0.000621791
40,183.02,0.53828,0.37144,0.93791,0.99746,0.99959,0.995,0.90157,0.4854,0.26206,0.8575,0.000594286,0.000594286,0.000594286
41,187.469,0.54862,0.38474,0.94201,0.99611,0.99957,0.995,0.89625,0.48861,0.2588,0.85999,0.00056678,0.00056678,0.00056678
42,191.924,0.55006,0.37824,0.93357,0.99886,1,0.995,0.90085,0.47099,0.25287,0.85354,0.000539275,0.000539275,0.000539275
43,196.362,0.52396,0.35901,0.92437,0.99872,1,0.995,0.91373,0.46371,0.25199,0.85131,0.000511769,0.000511769,0.000511769
44,200.898,0.52585,0.35754,0.93455,0.99889,1,0.995,0.90715,0.45478,0.24003,0.84693,0.000484263,0.000484263,0.000484263
45,205.354,0.52295,0.36065,0.92579,0.99878,1,0.995,0.90671,0.46796,0.23913,0.8524,0.000456758,0.000456758,0.000456758
46,209.819,0.49736,0.35137,0.91013,0.99912,1,0.995,0.90506,0.46302,0.24149,0.84907,0.000429253,0.000429253,0.000429253
47,214.24,0.5246,0.35378,0.92946,0.99788,0.99913,0.995,0.90712,0.4496,0.2394,0.84579,0.000401747,0.000401747,0.000401747
48,218.781,0.51533,0.34058,0.9377,0.99806,0.99997,0.995,0.91649,0.45648,0.22912,0.84593,0.000374242,0.000374242,0.000374242
49,223.579,0.51706,0.34749,0.93077,0.9983,1,0.995,0.90984,0.46708,0.23072,0.84817,0.000346736,0.000346736,0.000346736
50,228.409,0.47878,0.3218,0.91422,0.99932,1,0.995,0.91217,0.46287,0.22337,0.84696,0.000319231,0.000319231,0.000319231
51,248.696,0.41393,0.27482,0.83608,0.99903,0.99452,0.995,0.90702,0.4742,0.23672,0.85291,0.000291725,0.000291725,0.000291725
52,253.213,0.3992,0.25842,0.83418,0.99886,1,0.995,0.90156,0.46163,0.23351,0.84898,0.00026422,0.00026422,0.00026422
